SMILES,Predicted_deltaH,Melting_Point,pH2
c1ccc2ncccc2c1,46.3275378,-12.609,7.23919507
C=Cc1ccccc1,64.90659406,-30.146,7.186141014
Cc1cccc2ccccc12,60.75813909,34.481,6.619341875
Cc1ccccc1,62.62973639,-93.283,6.15954944
O=Cc1ccccc1,59.86835626,-25.566,7.062038043
Nc1ccccc1,54.40845398,-5.915,6.098188088
N#Cc1ccccc1,59.05098779,-12.613,8.904279001
c1ccc2nccnc2c1,47.35162261,29.925,7.188190829
C=CCc1ccccc1,65.73887756,-40.699,6.387680901
C(=Cc1ccccc1)c1ccccc1,60.74602634,28.107,7.260678528
CCc1ccc(Cc2ccccc2)cc1,60.04394926,-21.843,5.80452903
C1=Cc2ccccc21,64.01779448,0.501,7.317604356
CC(=O)c1ccccc1,59.42101132,18.292,6.289435713
O=CCc1ccccc1,60.90930006,32.625,6.289435713
c1ccncc1,60.52345483,-41.558,7.102759836
Cc1ccccn1,52.79091756,-54.936,6.098188088
Cc1ccc2ccccc2c1,62.41307707,34.481,6.619341875
C=Cc1cccnc1,53.39851383,-49.036,7.123423201
CC(=O)c1ccccc1C,60.53131252,15.196,5.669211625
Cc1ccc2ccccc2n1,48.335753,1.325,6.576672386
c1ccc2occc2c1,64.473415,-18.162,6.389908002
c1ccc2sccc2c1,60.27626094,31.889,5.668215398
c1ccc2cnccc2c1,50.56082114,24.927,7.23919507
Fc1ccccc1,61.85319794,-42.457,5.920588926
c1ccc(Oc2ccccc2)cc1,60.4846972,27.148,6.634961905
CCc1ccccc1Cc1ccccc1,60.12271033,-21.843,5.80452903
C1=CC2=c3ccccc3=NC2=C1,51.18823666,14.6,7.318489835
c1ccc(Sc2ccccc2)cc1,59.01575314,-25.186,6.097542533
c1ccc(Cc2ccccc2)cc1,60.48152691,24.853,6.707516566
N=Cc1ccccc1,62.83567711,16.526,7.123423201
CC(=O)Oc1ccccc1,60.12065018,-29.536,5.591690127
C=C(C)c1ccccc1,63.79470881,-52.979,6.387680901
c1ccc(COCc2ccccc2)cc1,61.14205483,4.601,5.750115278
c1ccc(CCCc2ccccc2)cc1,61.09481483,6.395,5.80452903
c1ccc(CNc2ccccc2)cc1,60.31406377,38.046,6.191963143
c1ccc(COc2ccccc2)cc1,59.8388719,39.858,6.160929844
CC(c1ccccc1)c1ccccc1,53.54446581,-16.217,6.223438738
c1ccn2ccnc2c1,48.07859577,3.612,6.389705475
Cc1cccnc1,50.51771765,-17.682,6.098188088
Cc1ccncc1,53.43489014,-7.519,6.098188088
CN(c1ccccc1)c1ccccc1,61.32943257,-7.245,6.191963143
