Iteration,LLM Generation Time (s),Filtering & Evaluation Time (s),Total Iteration Time (s),SMILES Received,SMILES Unique,Molecules Passed,Molecules Rejected,Invalid structure,H2 % too low,ΔH out of range,High melting point,Duplicate,SMILES Unique (Recalculated),Total Rejected (Calculated),Matches Molecules Rejected
1,47.53,20.06,67.6,30,30,4,23,0,15,1,7,0,27,23,Yes
2,55.73,23.81,79.55,28,25,10,15,2,7,1,7,0,25,15,Yes
3,71.26,34.29,105.57,30,30,8,18,4,10,0,8,0,26,18,Yes
4,72.53,21.59,94.15,30,30,1,27,1,13,2,12,0,28,27,Yes
5,78.14,58.8,136.97,30,30,7,22,1,8,0,14,0,29,22,Yes
6,45.66,19.24,64.93,30,30,6,21,3,15,1,5,0,27,21,Yes
7,44.01,10.59,54.62,30,30,5,24,0,15,2,7,0,29,24,Yes
8,99.34,65.58,164.94,30,30,6,23,0,11,1,11,0,29,23,Yes
9,46.56,129.38,175.95,29,27,11,16,1,4,2,10,0,27,16,Yes
10,61.24,53.5,114.78,30,30,2,22,5,7,2,13,0,24,22,Yes
