SMILES,Predicted_deltaH,Melting_Point,pH2
N#Cc1ccccc1,59.05098779,-12.613,8.904279001
c1ccc2nccnc2c1,47.35162261,29.925,7.188190829
c1ccc2cnccc2c1,50.56082114,24.927,7.23919507
O=Cc1ccccc1,59.86835626,-25.566,7.062038043
c1cc2ccc3ccccc3cc-2c1,64.44313774,21.832,7.336778514
CC(C)(c1ccccc1)c1ccccc1,61.18041488,28.941,5.80452903
CC(c1ccccc1)c1ccccc1,53.54446581,-16.217,6.223438738
C(=Cc1ccccc1)c1ccccc1,60.74602634,28.107,7.260678528
Cc1cccnc1,50.51771765,-17.682,6.098188088
Cc1ccccn1,52.79091756,-54.936,6.098188088
Cc1cccc2ccccc12,60.75813909,34.481,6.619341875
COC(=O)c1ccccc1,60.00095495,-15.451,5.591690127
c1cocn1,60.65804015,6.603,5.516109173
c1ccc2scnc2c1,47.45679029,2.214,5.629122893
Cc1cnccn1,43.0242323,-28.314,6.038037239
c1ccc2ocnc2c1,45.91025002,30.883,6.340270625
C=Cc1ccccc1,64.90659406,-30.146,7.186141014
CC(=O)Cc1ccccc1,61.1883929,-8.816,5.669211625
CC(=O)c1ccccc1,59.42101132,18.292,6.289435713
c1ccc(CCCc2ccccc2)cc1,61.09481483,6.395,5.80452903
c1ccc(Oc2ccccc2)cc1,60.4846972,27.148,6.634961905
Fc1ccccc1,61.85319794,-42.457,5.920588926
N#CCc1ccccc1,55.77331534,-23.422,7.92259748
CC=Cc1ccccc1,60.45555109,-28.32,6.387680901
c1ccc(Cc2ccccc2)cc1,60.48152691,24.853,6.707516566
c1ccc(CNCc2ccccc2)cc1,59.75322721,-25.239,5.777138845
C=CC=Cc1ccccc1,63.28714584,-15.372,7.186141014
ClC(=Cc1ccccc1)c1ccccc1,63.56086165,38.054,6.167643472
C(C=Cc1ccccc1)=Cc1ccccc1,59.37596168,26.726,7.251276887
c1ccc(COc2ccccc2)cc1,59.8388719,39.858,6.160929844
C(=Cc1ccccc1)Cc1ccccc1,58.37291741,37.105,6.771950535
CN(c1ccccc1)c1ccccc1,61.32943257,-7.245,6.191963143
O=C(Cc1ccccc1)Cc1ccccc1,60.06658239,35.735,6.289106369
NCC(c1ccccc1)c1ccccc1,61.2391145,36.987,5.777138845
CC(=Cc1ccccc1)c1ccccc1,60.4982264,36.216,6.771950535
