SMILES,Predicted_deltaH,Melting_Point,pH2
c1ccc(Cc2ccccn2)cc1,50.28455706,13.87,6.670968382
ClC(=CCc1ccccc1)c1ccccc1,61.6176127,24.099,5.811377319
c1ccc(CCCc2ccccc2)cc1,61.09481483,6.395,5.80452903
Cc1cccc2ccccc12,60.75813909,34.481,6.619341875
N#Cc1ccccc1,59.05098779,-12.613,8.904279001
Cc1ccccc1,62.62973639,-93.283,6.15954944
c1ccncc1,60.52345483,-41.558,7.102759836
Cc1cccnc1,50.51771765,-17.682,6.098188088
Nc1ccccc1,54.40845398,-5.915,6.098188088
CC(=O)c1ccccc1,59.42101132,18.292,6.289435713
Cc1ccccn1,52.79091756,-54.936,6.098188088
c1ccc2ncccc2c1,46.3275378,-12.609,7.23919507
c1ccc(Cc2ccccc2)cc1,60.48152691,24.853,6.707516566
O=Cc1ccccc1,59.86835626,-25.566,7.062038043
c1ccc(CCOc2ccccc2)cc1,59.58582708,25.052,5.750115278
Cc1ccccc1Cc1ccccc1,60.86808496,-10.946,6.223438738
c1ccc(COc2ccccc2)cc1,59.8388719,39.858,6.160929844
CCc1cccc2ccccc12,60.0993425,-11.346,6.061043365
N#CCc1ccccc1,55.77331534,-23.422,7.92259748
C(=Cc1ccccc1)c1ccccc1,60.74602634,28.107,7.260678528
CC(=Cc1ccccc1)c1ccccc1,60.4982264,36.216,6.771950535
O=C=NCc1ccccc1,61.74421519,24.261,7.037631781
COC(=O)c1ccccc1,60.00095495,-15.451,5.591690127
C=Cc1ccccc1,64.90659406,-30.146,7.186141014
CC(=O)Cc1ccccc1,61.1883929,-8.816,5.669211625
Cc1ccc2ccccc2c1,62.41307707,34.481,6.619341875
c1ccc2occc2c1,64.473415,-18.162,6.389908002
Cc1ccccc1C(C)c1ccccc1,62.40517694,20.901,5.80452903
Cc1ccccc1-c1ccccc1,63.94126903,17.941,6.707516566
C(C=Cc1ccccc1)=CCc1ccccc1,59.83363752,38.209,6.821094302
CCc1ccc2ccccc2c1,59.97337057,-11.346,6.061043365
CC(Cc1ccccc1)c1ccccc1,61.35968971,32.242,5.80452903
CC(C)c1cccc2ccccc12,62.21417181,14.913,5.589597139
c1ccc(CCc2cccnc2)cc1,49.90625489,12.578,6.191963143
c1ccc(CCc2ccncc2)cc1,51.10432043,12.845,6.191963143
Cc1cc(C)c2ccccc2c1,61.80598883,30.34,6.061043365
c1ccc(CCCc2cccnc2)cc1,50.05871768,14.586,5.777138845
CC(C)c1ccc2ccccc2c1,60.20063735,14.913,5.589597139
c1ccc(CCc2ccccn2)cc1,48.09587462,-2.462,6.191963143
